Jobs	X	Y	Fixed-Processing-Time	Degradation-Rate
0	3.36	6.81	0	0
1	13.36	6.81	0.033	0.0001
2	17.7	19.33	0.038	0.0098
3	3.55	10.83	0.024	0.0085
4	10.18	5.4	0.041	0.0062
5	14.79	4.22	0.042	0.0098
6	4.25	3.94	0.04	0.0087
7	9.4	13.88	0.028	0.0024
8	11.53	9.55	0.046	0.0004
9	0.01	12.41	0.022	0.0059
10	15.02	16.11	0.02	0.009
11	3.66	13.85	0.005	0.006
12	11.52	2	0.003	0.0008
13	4.78	11.81	0.045	0.004
14	12.62	5.04	0.046	0.0087
15	11.85	16.68	0.001	0.0057
16	11.23	13.7	0.004	0.0025
17	12.55	9.2	0.038	0.0031
18	13.68	7.09	0	0.0098
19	6.36	4.34	0.014	0.0073
20	17.86	16.53	0.04	0.01
21	9.84	8.83	0.045	0.0007
22	18.09	1.05	0.005	0.0011
23	11.25	2.75	0.011	0.0008
24	14.53	13.95	0.007	0.005
25	10.2	10.66	0.05	0.0088
26	18.28	9.96	0.022	0.0045
27	17.92	19.88	0.046	0.0031
28	10.38	8.53	0.017	0.005
29	6.91	10.94	0.028	0.0089
30	9.92	15.79	0.018	0.0014
31	9.14	11.02	0.024	0.0081
32	18.43	17.4	0.027	0.0051
33	14.72	6.67	0.008	0.0097
34	9.64	9.99	0.034	0.0092
35	10.47	12.68	0.026	0.0019
36	18.86	14.76	0.02	0.0027
37	6.1	17.72	0.017	0.0072
38	17.64	3.37	0.011	0.0072
39	9.88	2.12	0.001	0.0083
40	4.81	13.44	0.011	0.0037
41	0.09	3.4	0.044	0.0079
42	1.92	9.48	0.01	0.0081
43	18.58	18.25	0.014	0.0013
44	10.99	16.1	0.035	0.0031
45	4.64	13.85	0.021	0.0037
46	6.21	1.17	0.03	0.0029
47	2.37	0.48	0.023	0.0067
48	18.31	17.94	0.04	0.0091
49	5.81	4.57	0.033	0.0083
50	1.75	7.23	0.032	0.0021
51	12.33	11.27	0.036	0.0097
52	8.13	17.26	0.004	0.0044
53	16.37	3.1	0.002	0.0031
54	2.63	6.94	0.014	0.0036
55	10.63	3.65	0.018	0.0031
56	1.6	12.05	0.016	0.0033
57	19.84	8.43	0.034	0.0063
58	3.67	17.07	0.036	0.0035
59	19.78	11.39	0.009	0.0071
60	6.8	11.74	0.032	0.0093
61	3.53	5.48	0.045	0.0073
62	10.14	19.52	0.016	0.0062
63	6.83	6.05	0.05	0.0011
64	15.78	16.7	0.027	0.0028
65	17.3	5.34	0.047	0.002
66	7.43	17.18	0.019	0.0036
67	18.26	12.3	0.001	0.0043
68	16.04	11.22	0.003	0.0033
69	16.86	3.08	0.019	0.002
70	5.05	0.5	0.013	0.0062
71	11.02	9.51	0.001	0.0052
72	6.53	7.11	0.016	0.0025
73	7.5	17.9	0.001	0.0021
74	19.77	9.48	0.005	0.0056
75	4.31	7.87	0.01	0.0069
76	13.6	9.32	0.022	0.0073
77	8.66	0.84	0.027	0.0083
78	17.27	3.79	0.025	0.0078
79	13.78	14.94	0.007	0.0055
80	12.41	3.44	0.032	0.0083
81	0.32	9.37	0.003	0.0031
82	13.55	9.3	0.022	0.0034
83	12.06	12.01	0.009	0.0006
84	6.85	18.06	0.005	0.0097
85	18.33	8.08	0.007	0.0039
86	3.6	11.14	0.047	0.0017
87	8.61	9.22	0.026	0.0041
88	19.7	17.96	0.023	0.0053
89	2.26	4.99	0.036	0.003
90	13.09	19.09	0.008	0.0094
91	19.18	17.42	0.001	0.0071
92	5.89	18.65	0.002	0.0076
93	14.5	17.42	0.032	0.0034
94	15.26	4.09	0.02	0.0029
